CourseID,Title,Category,Sub_Category,Language,Skills,Instructor,Rating,Enrollments,Duration,Platform,PriceUSD,Certification,Level,ReleaseYear
1,Machine Learning by Stanford University,Data Science,Big Data,English,"R, Excel, Data Analysis, Deep Learning, Power BI",Matthew Davis MD,3.8 stars,26593,10 hours,FutureLearn,$0,No,Beginner,2019
2,Tableau Data Visualization,Data Science,Statistics,English,"Python, Machine Learning, Power BI, Excel, R",Stephen Wood,4.7 stars,24279,10 hours,Coursera,$19,Yes,Beginner,2021
3,Python for Everybody,Data Science,Statistics,English,"Deep Learning, Machine Learning, Excel, SQL, Power BI",Dennis Marshall,4.3 stars,66110,54 hours,Udemy,$99,Yes,Beginner,2023
4,Python for Everybody,Data Science,Data Analysis,Spanish,"Python, R, Excel, SQL, Data Analysis",Derrick Brown,4.8 stars,45990,34 hours,Udemy,$299,Yes,Advanced,2018
5,Natural Language Processing with Deep Learning,Arts,Creative Writing,Hindi,"Design, Communication, Creativity, Photography",Mary Miller,3.7 stars,94626,33 hours,Coursera,$19,Yes,Intermediate,2018
6,SQL for Data Science,Data Science,Deep Learning,English,"R, Excel, SQL, Deep Learning, Data Analysis",Joshua Arellano,4.4 stars,53829,38 hours,Coursera,$0,Yes,Advanced,2023
7,Excel to MySQL: Analytic Techniques,Data Science,Deep Learning,Hindi,"Deep Learning, Data Analysis, Python, SQL, Excel",Kristen Randall,3.0 stars,548,41 hours,Coursera,$199,Yes,Intermediate,2024
8,Cybersecurity for Business,Business,Strategy,French,"Leadership, Excel, Communication, Power BI, Critical Thinking",Jennifer Nichols,4.9 stars,84613,29 hours,edX,$0,Yes,Advanced,2022
9,Business Analytics with Excel,Business,Finance,French,"Critical Thinking, Excel, Communication, Power BI, Leadership",Karen Keith,4.0 stars,20172,34 hours,edX,$29,Yes,Beginner,2019
10,AWS Cloud Practitioner Essentials,IT & Software,Networking,English,"Azure, DevOps, Critical Thinking, AWS, Networking",Blake Orr,3.9 stars,39402,14 hours,Coursera,$199,Yes,Intermediate,2021
11,Natural Language Processing with Deep Learning,IT & Software,Cybersecurity,French,"DevOps, Azure, Networking, Critical Thinking, AWS",Kathryn Lester,4.8 stars,60469,51 hours,FutureLearn,$49,Yes,Intermediate,2021
12,AWS Cloud Practitioner Essentials,IT & Software,DevOps,Hindi,"Networking, Critical Thinking, Azure, DevOps, AWS",Megan Oliver,3.5 stars,93500,17 hours,Udemy,$199,Yes,Advanced,2023
13,AWS Cloud Practitioner Essentials,IT & Software,Networking,Hindi,"DevOps, Critical Thinking, Azure, Networking, AWS",Peter Thompson,3.9 stars,71249,46 hours,FutureLearn,$49,Yes,Intermediate,2024
14,Cybersecurity for Business,Business,Strategy,Hindi,"Critical Thinking, Leadership, Power BI, Communication, Excel",Dr. Rhonda Martinez,4.3 stars,67929,32 hours,Udemy,$99,Yes,Intermediate,2018
15,SQL for Data Science,Data Science,Deep Learning,Hindi,"Power BI, R, Deep Learning, SQL, Data Analysis",William Graham,4.3 stars,75475,55 hours,Udemy,$199,Yes,Beginner,2021
16,Business Analytics with Excel,Business,Marketing,English,"Critical Thinking, Excel, Communication, Leadership, Power BI",Lori Flowers MD,4.4 stars,8666,10 hours,Coursera,$29,Yes,Beginner,2024
17,Python for Everybody,Data Science,Machine Learning,Hindi,"Deep Learning, Power BI, Python, Data Analysis, R",Suzanne Jones,4.9 stars,40412,58 hours,Coursera,$19,Yes,Intermediate,2022
18,Deep Learning Specialization,Computer Science,Cloud Computing,Hindi,"React, SQL, Python, Azure, AWS",James Nguyen,4.8 stars,20025,15 hours,FutureLearn,$0,No,Beginner,2022
19,Machine Learning by Stanford University,Data Science,Statistics,Spanish,"Power BI, SQL, R, Deep Learning, Machine Learning",Jimmy Marks,4.4 stars,32788,12 hours,Udemy,$199,Yes,Intermediate,2018
