CourseID,Title,Category,Sub_Category,Language,Skills,Instructor,Rating,Enrollments,Duration,Platform,PriceUSD,Certification,Level,ReleaseYear,Created_At
1,"Machine Learning by Stanford University","Data Science","Big Data",English,"R, Excel, Data Analysis, Deep Learning, Power BI","Matthew Davis MD",3.8,26593,10,FutureLearn,0.00,0,Beginner,2019,"2025-07-22 15:56:44"
2,"Tableau Data Visualization","Data Science",Statistics,English,"Python, Machine Learning, Power BI, Excel, R","Stephen Wood",4.7,24279,10,Coursera,19.00,1,Beginner,2021,"2025-07-22 15:56:44"
3,"Python for Everybody","Data Science",Statistics,English,"Deep Learning, Machine Learning, Excel, SQL, Power BI","Dennis Marshall",4.3,66110,54,Udemy,99.00,1,Beginner,2023,"2025-07-22 15:56:44"
4,"Python for Everybody","Data Science","Data Analysis",Spanish,"Python, R, Excel, SQL, Data Analysis","Derrick Brown",4.8,45990,34,Udemy,299.00,1,Advanced,2018,"2025-07-22 15:56:44"
5,"Natural Language Processing with Deep Learning",Arts,"Creative Writing",Hindi,"Design, Communication, Creativity, Photography","Mary Miller",3.7,94626,33,Coursera,19.00,1,Intermediate,2018,"2025-07-22 15:56:44"
6,"SQL for Data Science","Data Science","Deep Learning",English,"R, Excel, SQL, Deep Learning, Data Analysis","Joshua Arellano",4.4,53829,38,Coursera,0.00,1,Advanced,2023,"2025-07-22 15:56:44"
7,"Excel to MySQL: Analytic Techniques","Data Science","Deep Learning",Hindi,"Deep Learning, Data Analysis, Python, SQL, Excel","Kristen Randall",3.0,548,41,Coursera,199.00,1,Intermediate,2024,"2025-07-22 15:56:44"
8,"Cybersecurity for Business",Business,Strategy,French,"Leadership, Excel, Communication, Power BI, Critical Thinking","Jennifer Nichols",4.9,84613,29,edX,0.00,1,Advanced,2022,"2025-07-22 15:56:44"
9,"Business Analytics with Excel",Business,Finance,French,"Critical Thinking, Excel, Communication, Power BI, Leadership","Karen Keith",4.0,20172,34,edX,29.00,1,Beginner,2019,"2025-07-22 15:56:44"
10,"AWS Cloud Practitioner Essentials","IT & Software",Networking,English,"Azure, DevOps, Critical Thinking, AWS, Networking","Blake Orr",3.9,39402,14,Coursera,199.00,1,Intermediate,2021,"2025-07-22 15:56:44"
11,"Natural Language Processing with Deep Learning","IT & Software",Cybersecurity,French,"DevOps, Azure, Networking, Critical Thinking, AWS","Kathryn Lester",4.8,60469,51,FutureLearn,49.00,1,Intermediate,2021,"2025-07-22 15:56:44"
12,"AWS Cloud Practitioner Essentials","IT & Software",DevOps,Hindi,"Networking, Critical Thinking, Azure, DevOps, AWS","Megan Oliver",3.5,93500,17,Udemy,199.00,1,Advanced,2023,"2025-07-22 15:56:44"
13,"AWS Cloud Practitioner Essentials","IT & Software",Networking,Hindi,"DevOps, Critical Thinking, Azure, Networking, AWS","Peter Thompson",3.9,71249,46,FutureLearn,49.00,1,Intermediate,2024,"2025-07-22 15:56:44"
14,"Cybersecurity for Business",Business,Strategy,Hindi,"Critical Thinking, Leadership, Power BI, Communication, Excel","Dr. Rhonda Martinez",4.3,67929,32,Udemy,99.00,1,Intermediate,2018,"2025-07-22 15:56:44"
15,"SQL for Data Science","Data Science","Deep Learning",Hindi,"Power BI, R, Deep Learning, SQL, Data Analysis","William Graham",4.3,75475,55,Udemy,199.00,1,Beginner,2021,"2025-07-22 15:56:44"
16,"Business Analytics with Excel",Business,Marketing,English,"Critical Thinking, Excel, Communication, Leadership, Power BI","Lori Flowers MD",4.4,8666,10,Coursera,29.00,1,Beginner,2024,"2025-07-22 15:56:44"
17,"Python for Everybody","Data Science","Machine Learning",Hindi,"Deep Learning, Power BI, Python, Data Analysis, R","Suzanne Jones",4.9,40412,58,Coursera,19.00,1,Intermediate,2022,"2025-07-22 15:56:44"
18,"Deep Learning Specialization","Computer Science","Cloud Computing",Hindi,"React, SQL, Python, Azure, AWS","James Nguyen",4.8,20025,15,FutureLearn,0.00,0,Beginner,2022,"2025-07-22 15:56:44"
19,"Machine Learning by Stanford University","Data Science",Statistics,Spanish,"Power BI, SQL, R, Deep Learning, Machine Learning","Jimmy Marks",4.4,32788,12,Udemy,199.00,1,Intermediate,2018,"2025-07-22 15:56:44"
20,"Business Analytics with Excel",Business,Leadership,English,"Excel, Critical Thinking, Power BI, Communication, Leadership","Lisa Mills",4.2,47598,33,Udemy,19.00,1,Intermediate,2018,"2025-07-22 15:56:44"
21,"Google Data Analytics Certificate","Data Science","Big Data",Hindi,"Deep Learning, Data Analysis, Python, Power BI, Excel","Jason Hernandez",4.2,88884,30,Udemy,19.00,1,Beginner,2024,"2025-07-22 15:56:44"
22,"Data Structures and Algorithms Specialization","Data Science","Deep Learning",French,"Deep Learning, Data Analysis, Excel, Python, Power BI","Olivia Ayers",3.0,77474,31,Udemy,99.00,1,Intermediate,2024,"2025-07-22 15:56:44"
23,"Natural Language Processing with Deep Learning","Computer Science","Web Development",English,"AWS, SQL, JavaScript, Python, Azure","Kristine Garcia",4.3,91917,24,edX,19.00,1,Intermediate,2021,"2025-07-22 15:56:44"
24,"The Science of Well-Being","Computer Science",Programming,English,"SQL, React, JavaScript, Python, AWS","Joseph Cooper",4.5,2618,24,FutureLearn,19.00,1,Beginner,2021,"2025-07-22 15:56:44"
25,"Full-Stack Web Development with React","Computer Science","Cloud Computing",Spanish,"React, JavaScript, SQL, Azure, Python","James Washington",4.6,55741,31,edX,29.00,1,Beginner,2020,"2025-07-22 15:56:44"
